sample_id,source_file_id,row_id,label,label_name,condition_id,sensor_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_x,angle_y,angle_z
S00000000,file_0001,0,1,abnormal,condition_00,sensor_00,-0.5516,0.5609,-0.5611,0.0359,0.0499,0.029,0.5298,0.5417,0.6501
S00000001,file_0001,1,1,abnormal,condition_00,sensor_00,-0.5321,0.556,-0.5498,0.0359,0.0499,0.029,0.5298,0.5417,0.6501
S00000002,file_0001,2,1,abnormal,condition_00,sensor_00,-0.4933,0.5462,-0.5633,0.0359,0.0499,0.029,0.5298,0.5417,0.6501
S00000003,file_0001,3,1,abnormal,condition_00,sensor_00,-0.5321,0.5462,-0.5588,0.0359,0.0499,0.029,0.5298,0.5399,0.6501
S00000004,file_0001,4,1,abnormal,condition_00,sensor_00,-0.571,0.5462,-0.5633,0.0359,0.0499,0.029,0.53,0.5399,0.6501
S00000005,file_0001,5,1,abnormal,condition_00,sensor_00,-0.571,0.5511,-0.5611,0.0359,0.0499,0.029,0.53,0.5399,0.6501
S00000006,file_0001,6,1,abnormal,condition_00,sensor_00,-0.5127,0.5462,-0.5521,0.0359,0.0499,0.029,0.53,0.5399,0.6501
S00000007,file_0001,7,1,abnormal,condition_00,sensor_00,-0.5321,0.5511,-0.5656,0.0359,0.0499,0.029,0.53,0.5399,0.6501
S00000008,file_0001,8,1,abnormal,condition_00,sensor_00,-0.5127,0.5363,-0.5543,0.0359,0.0499,0.029,0.53,0.5399,0.6501
S00000009,file_0001,9,1,abnormal,condition_00,sensor_00,-0.5516,0.5462,-0.5656,0.0359,0.0499,0.029,0.5302,0.5399,0.6501
S00000010,file_0001,10,1,abnormal,condition_00,sensor_00,-0.5516,0.5511,-0.5566,0.0359,0.0499,0.029,0.5302,0.5399,0.6501
S00000011,file_0001,11,1,abnormal,condition_00,sensor_00,-0.5321,0.5413,-0.5611,0.0359,0.0499,0.029,0.5302,0.5399,0.6501
S00000012,file_0001,12,1,abnormal,condition_00,sensor_00,-0.5321,0.5413,-0.5678,0.0359,0.0499,0.029,0.5302,0.5399,0.6501
S00000013,file_0001,13,1,abnormal,condition_00,sensor_00,-0.5321,0.5462,-0.5588,0.0359,0.0499,0.029,0.5304,0.5399,0.6501
S00000014,file_0001,14,1,abnormal,condition_00,sensor_00,-0.5516,0.5314,-0.5588,0.0359,0.0499,0.029,0.5304,0.5399,0.6501
S00000015,file_0001,15,1,abnormal,condition_00,sensor_00,-0.5321,0.5413,-0.5633,0.0359,0.0499,0.029,0.5306,0.5399,0.6501
S00000016,file_0001,16,1,abnormal,condition_00,sensor_00,-0.5127,0.5511,-0.5566,0.0359,0.0499,0.029,0.5306,0.5399,0.6501
S00000017,file_0001,17,1,abnormal,condition_00,sensor_00,-0.6099,0.556,-0.5656,0.0359,0.0499,0.029,0.5307,0.5399,0.6501
S00000018,file_0001,18,1,abnormal,condition_00,sensor_00,-0.5516,0.556,-0.5475,0.0359,0.0499,0.029,0.5307,0.5399,0.6501
S00000019,file_0001,19,1,abnormal,condition_00,sensor_00,-0.5516,0.5462,-0.5701,0.0359,0.0499,0.029,0.5307,0.5399,0.6501
S00000020,file_0001,20,1,abnormal,condition_00,sensor_00,-0.5127,0.5511,-0.5588,0.0359,0.0499,0.029,0.5307,0.5399,0.6501
S00000021,file_0001,21,1,abnormal,condition_00,sensor_00,-0.4738,0.5314,-0.5588,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000022,file_0001,22,1,abnormal,condition_00,sensor_00,-0.5516,0.556,-0.5566,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000023,file_0001,23,1,abnormal,condition_00,sensor_00,-0.5516,0.556,-0.5566,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000024,file_0001,24,1,abnormal,condition_00,sensor_00,-0.5127,0.5314,-0.5678,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000025,file_0001,25,1,abnormal,condition_00,sensor_00,-0.571,0.5413,-0.5543,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000026,file_0001,26,1,abnormal,condition_00,sensor_00,-0.5321,0.5413,-0.5588,0.0359,0.0499,0.029,0.5309,0.5399,0.6501
S00000027,file_0001,27,1,abnormal,condition_00,sensor_00,-0.5127,0.5511,-0.5633,0.0359,0.0499,0.029,0.5311,0.5399,0.6501
S00000028,file_0001,28,1,abnormal,condition_00,sensor_00,-0.5127,0.5609,-0.5453,0.0359,0.0499,0.029,0.5311,0.5379,0.6501
S00000029,file_0001,29,1,abnormal,condition_00,sensor_00,-0.571,0.556,-0.5656,0.0359,0.0499,0.029,0.5311,0.5379,0.6501
S00000030,file_0001,30,1,abnormal,condition_00,sensor_00,-0.5127,0.556,-0.5633,0.0359,0.0499,0.029,0.5311,0.5379,0.6501
S00000031,file_0001,31,1,abnormal,condition_00,sensor_00,-0.5127,0.5659,-0.5678,0.0359,0.0499,0.029,0.5311,0.5379,0.6501
S00000032,file_0001,32,1,abnormal,condition_00,sensor_00,-0.5321,0.556,-0.5633,0.0359,0.0499,0.029,0.5313,0.5379,0.6501
S00000033,file_0001,33,1,abnormal,condition_00,sensor_00,-0.5516,0.5757,-0.5588,0.0359,0.0499,0.029,0.5313,0.5379,0.6501
S00000034,file_0001,34,1,abnormal,condition_00,sensor_00,-0.4933,0.5708,-0.5768,0.0359,0.0499,0.029,0.5313,0.5379,0.6501
S00000035,file_0001,35,1,abnormal,condition_00,sensor_00,-0.4933,0.5659,-0.5656,0.0303,0.0936,0.029,0.5313,0.5399,0.6501
S00000036,file_0001,36,1,abnormal,condition_00,sensor_00,-0.5516,0.5314,-0.5543,0.0359,0.0499,2.4829,0.5313,0.5399,0.6501
S00000037,file_0001,37,1,abnormal,condition_00,sensor_00,-0.571,0.5511,-0.5633,0.047,0.0499,0.029,0.5315,0.5399,0.6501
S00000038,file_0001,38,1,abnormal,condition_00,sensor_00,-0.5516,0.5511,-0.5633,0.0637,0.0936,0.029,0.5321,0.5399,0.6508
S00000039,file_0001,39,1,abnormal,condition_00,sensor_00,-0.5127,0.7135,-0.6084,0.1749,0.1811,-1.6069,0.5334,0.5379,0.6518
S00000040,file_0001,40,1,abnormal,condition_00,sensor_00,-0.6099,0.5117,-0.5656,0.1305,0.1374,0.029,0.5354,0.5379,0.6535
S00000041,file_0001,41,1,abnormal,condition_00,sensor_00,-0.571,0.5413,-0.5611,0.1416,0.1593,0.029,0.5375,0.5379,0.6552
S00000042,file_0001,42,1,abnormal,condition_00,sensor_00,-0.5516,0.5708,-0.5768,0.1249,0.1155,0.029,0.5392,0.5379,0.6569
S00000043,file_0001,43,1,abnormal,condition_00,sensor_00,-0.4738,0.5216,-0.5746,0.1249,0.1374,0.029,0.5409,0.5361,0.6587
S00000044,file_0001,44,1,abnormal,condition_00,sensor_00,-0.5516,0.5314,-0.5746,0.1471,0.1155,-0.789,0.5427,0.5361,0.6604
S00000045,file_0001,45,1,abnormal,condition_00,sensor_00,-0.5127,0.5806,-0.5858,0.1249,0.1374,-0.789,0.5444,0.5361,0.6621
S00000046,file_0001,46,1,abnormal,condition_00,sensor_00,-0.4738,0.5314,-0.5791,0.1081,0.0936,0.029,0.5459,0.534,0.6638
S00000047,file_0001,47,1,abnormal,condition_00,sensor_00,-0.4349,0.5363,-0.5858,0.1137,0.1155,0.029,0.5476,0.534,0.6646
S00000048,file_0001,48,1,abnormal,condition_00,sensor_00,-0.571,0.5511,-0.5926,0.1416,0.1593,0.029,0.5495,0.5323,0.6663
S00000049,file_0001,49,1,abnormal,condition_00,sensor_00,-0.5516,0.556,-0.5836,0.1137,0.1155,0.029,0.5512,0.5323,0.668
S00000050,file_0001,50,1,abnormal,condition_00,sensor_00,-0.4933,0.5511,-0.5858,0.1193,0.1374,0.029,0.5527,0.5323,0.6698
S00000051,file_0001,51,1,abnormal,condition_00,sensor_00,-0.4933,0.5905,-0.6016,0.1527,0.0936,0.029,0.5544,0.5302,0.6715
S00000052,file_0001,52,1,abnormal,condition_00,sensor_00,-0.4738,0.4773,-0.5926,0.7811,0.7938,0.029,0.5628,0.5264,0.6801
S00000053,file_0001,53,1,abnormal,condition_00,sensor_00,-0.4155,0.4822,-0.6106,0.9256,0.9032,0.029,0.5807,0.5188,0.699
S00000054,file_0001,54,1,abnormal,condition_00,sensor_00,-0.5321,0.4183,-0.6061,1.0257,1.0129,0.029,0.5995,0.5095,0.7196
S00000055,file_0001,55,1,abnormal,condition_00,sensor_00,-0.4155,0.556,-0.6669,1.1536,1.2097,0.029,0.6197,0.4981,0.7419
S00000056,file_0001,56,1,abnormal,condition_00,sensor_00,-0.7071,0.4527,-0.6894,1.3872,1.3628,0.029,0.6426,0.4846,0.7658
S00000057,file_0001,57,1,abnormal,condition_00,sensor_00,-0.6488,0.6249,-0.6917,0.4084,0.3783,0.029,0.66,0.4752,0.7847
